index,angle,X,Y,Z,Total_in_Debye
5,-15,-0.9565,1.9312,-2.6960,3.4515
5,15,-0.9652,1.7997,-2.7821,3.4512
5,135,-0.9705,1.6677,-2.8593,3.4494
5,-135,-0.9685,1.6926,-2.8460,3.4500
5,-150,-0.9836,1.7653,-2.7848,3.4408
5,150,-0.9866,1.5752,-2.8955,3.4407
5,-165,-0.9777,1.7857,-2.7233,3.4002
5,165,-0.9752,1.5299,-2.8674,3.3932
5,180,-0.9422,1.6311,-2.7502,3.3334
5,-30,-0.9649,2.0009,-2.6343,3.4459
5,30,-0.9843,1.7164,-2.8216,3.4462
5,-45,-0.9603,2.0221,-2.5750,3.4119
5,45,-0.9848,1.6520,-2.8166,3.4106
5,-60,-0.9284,1.8707,-2.5965,3.3321
5,60,-0.9408,1.7382,-2.6829,3.3323
5,-75,-0.9678,1.4041,-2.9434,3.4018
5,75,-0.9666,1.8918,-2.6565,3.4015
5,-90,-0.9745,1.4710,-2.9545,3.4413
5,90,-0.9717,1.8690,-2.7202,3.4405
6,0,-0.9605,1.7603,-2.8115,3.4534
6,-105,-6.4396,0.8673,-0.9234,6.5630
6,105,-2.3713,5.9393,-1.4604,6.5598
6,-120,-6.2053,0.6471,-0.2461,6.2438
6,120,-1.9933,5.8576,-0.8364,6.2437
6,-15,-1.0568,1.3851,-3.1311,3.5832
6,15,-1.0296,2.2174,-2.6204,3.5838
6,135,-1.5945,5.7381,-0.3987,5.9689
6,-135,-5.9501,0.4000,0.2420,5.9684
6,-150,-5.7100,0.1868,0.6429,5.7491
6,150,-1.2519,5.6131,-0.0414,5.7511
6,-165,-5.5189,0.0801,0.9839,5.6064
6,165,-1.0297,5.5022,0.2858,5.6050
6,180,-5.4437,0.1114,1.1526,5.5655
6,-30,-1.3323,1.0206,-3.6369,4.0054
6,30,-1.2717,2.8423,-2.5150,4.0026
6,-45,-4.0342,0.2945,-2.1759,4.5930
6,45,-1.5906,3.5132,-2.4957,4.5936
6,-60,-4.7849,0.5009,-2.1602,5.2738
6,60,-1.9571,4.1902,-2.5368,5.2748
6,-75,-5.5827,0.7029,-2.0407,5.9854
6,75,-2.2894,4.9484,-2.4735,5.9871
6,-90,-6.3140,0.9053,-1.7058,6.6027
6,90,-2.5366,5.6917,-2.1867,6.6040
7,0,2.5414,-5.6679,2.9556,6.8789
7,-105,-0.2210,-5.9502,2.2625,6.3697
7,105,5.3167,-2.6632,2.2842,6.3700
7,-120,5.4208,2.1278,2.5971,6.3763
7,120,5.4541,-2.3290,2.3409,6.3758
7,-15,1.8472,-5.7319,2.6253,6.5695
7,15,4.1322,-4.3776,2.6325,6.5703
7,135,5.5666,-2.0699,2.4027,6.4065
7,-135,5.5370,1.8633,2.6293,6.4065
7,-150,5.6402,1.6176,2.6748,6.4485
7,150,5.6683,-1.8265,2.4801,6.4511
7,-165,5.7719,1.2894,2.7897,6.5391
7,165,5.7938,-1.5098,2.6290,6.5390
7,180,6.2546,-0.1426,3.3865,7.1140
7,-30,1.5396,-5.7952,2.5079,6.4996
7,30,4.3339,-4.1394,2.5158,6.4997
7,-45,1.2521,-5.8496,2.3996,6.4454
7,45,4.5215,-3.9090,2.4087,6.4441
7,-60,0.9442,-5.8880,2.2929,6.3888
7,60,4.7000,-3.6558,2.2996,6.3830
7,-75,0.6045,-5.9219,2.2119,6.3503
7,75,4.8933,-3.3781,2.2283,6.3499
7,-90,0.2045,-5.9611,2.2231,6.3654
7,90,5.1187,-3.0454,2.2440,6.3648
8,0,5.3853,-2.5825,2.2910,6.3968
8,-105,4.8663,-3.4196,2.2157,6.3469
8,105,5.4757,-2.2802,2.2449,6.3420
8,-120,4.9039,-3.4376,2.2369,6.3929
8,120,5.5121,-2.2965,2.2687,6.3878
8,-15,5.3441,-2.5918,2.2723,6.3593
8,15,5.0502,-3.1289,2.2612,6.3567
8,135,5.2294,-2.8463,2.2821,6.3762
8,-135,5.2040,-2.8873,2.2730,6.3706
8,-150,5.2080,-2.8227,2.2793,6.3471
8,150,5.1714,-2.8891,2.2817,6.3480
8,-165,5.2485,-2.7304,2.3051,6.3495
8,165,5.1223,-2.9542,2.2901,6.3411
8,180,5.0874,-3.0682,2.3389,6.3848
8,-30,5.3470,-2.5367,2.2771,6.3412
8,30,5.0012,-3.1750,2.2732,6.3450
8,-45,5.3963,-2.4340,2.3158,6.3566
8,45,4.9479,-3.2615,2.2992,6.3565
8,-60,5.4507,-2.3449,2.3447,6.3801
8,60,4.9025,-3.3570,2.3257,6.3807
8,-75,4.7724,-3.5267,2.2403,6.3429
8,75,5.5212,-2.1416,2.2867,6.3482
8,-90,4.8278,-3.4370,2.2084,6.3244
8,90,5.4786,-2.2136,2.2511,6.3232
9,0,-2.1895,4.7026,-7.1066,8.7984
9,-105,1.6474,-4.3870,-7.0804,8.4907
9,105,-3.7837,-0.0530,-7.3811,8.2946
9,-120,0.8757,-4.4697,-7.2998,8.6042
9,120,-3.6132,-0.9439,-7.4033,8.2919
9,-15,-1.6694,5.0731,-6.8423,8.6799
9,15,-2.6515,4.2476,-7.2963,8.8492
9,135,-3.3017,-1.8000,-7.4935,8.3841
9,-135,0.2197,-4.3961,-7.5344,8.7259
9,-150,-0.4036,-4.2316,-7.7544,8.8430
9,150,-2.8345,-2.5636,-7.6829,8.5810
